Attrition_Flag,Customer_Age,Gender,Dependent_count,Education_Level,Marital_Status,Income_Category,Card_Category,Months_on_book,Total_Relationship_Count,Months_Inactive_12_mon,Contacts_Count_12_mon,Credit_Limit,Total_Revolving_Bal,Avg_Open_To_Buy,Total_Amt_Chng_Q4_Q1,Total_Trans_Amt,Total_Trans_Ct,Total_Ct_Chng_Q4_Q1,Avg_Utilization_Ratio
1,42,1,5,5,3,0,0,31,5,3,2,6748.0,1467,5281.0,0.831,1201,42,0.68,0.217
1,45,0,2,2,1,5,0,37,6,1,2,14470.0,1157,13313.0,0.966,1207,21,0.909,0.08
1,47,0,4,6,2,4,0,36,3,3,2,2492.0,1560,932.0,0.573,1126,23,0.353,0.626
1,54,1,2,6,1,3,0,42,4,2,3,12217.0,0,12217.0,1.075,1110,21,0.75,0.0
1,41,0,3,2,2,4,0,28,6,1,2,7768.0,1669,6099.0,0.797,1051,22,0.833,0.215
1,58,1,0,2,1,3,0,49,6,2,2,12555.0,1696,10859.0,0.519,1291,24,0.714,0.135
1,55,0,1,0,2,4,0,36,4,2,1,3520.0,1914,1606.0,0.51,1407,43,0.483,0.544
1,38,0,4,2,2,5,0,28,2,3,3,9830.0,2055,7775.0,0.977,1042,23,0.917,0.209
1,52,1,1,0,2,3,0,40,5,1,1,4745.0,1227,3518.0,0.624,1140,40,0.6,0.259
1,49,0,4,2,3,4,0,36,6,4,2,3298.0,2200,1098.0,0.678,1052,32,0.6,0.667
1,55,1,3,6,1,3,0,47,4,2,3,3436.0,2016,1420.0,0.901,1097,33,0.833,0.587
1,39,1,1,3,0,2,0,33,5,3,3,5926.0,1251,4675.0,0.944,1316,28,1.154,0.211
1,53,1,2,3,2,0,0,44,4,2,2,14734.0,1634,13100.0,0.989,1289,23,0.917,0.111
1,57,1,2,0,1,2,0,52,5,3,3,6584.0,1817,4767.0,0.62,1353,35,0.667,0.276
1,44,0,2,5,2,4,0,20,6,3,3,2084.0,1468,616.0,1.004,1132,28,0.556,0.704
1,55,0,2,2,1,4,0,42,5,3,3,2216.0,1034,1182.0,0.758,1540,36,0.286,0.467
1,54,1,1,2,3,2,0,43,4,2,3,2910.0,2030,880.0,0.769,1256,21,0.4,0.698
1,53,1,2,2,2,3,0,36,5,3,2,5272.0,1515,3757.0,0.857,1289,33,0.435,0.287
1,37,0,3,5,2,4,0,29,4,4,2,7038.0,1801,5237.0,0.751,2339,57,0.966,0.256
1,49,1,3,2,0,2,0,30,6,1,2,2536.0,1823,713.0,0.703,1468,23,0.353,0.719
1,59,0,1,2,1,5,0,52,2,3,3,10133.0,1417,8716.0,0.383,1068,20,0.818,0.14
1,43,0,3,5,2,4,0,35,5,2,3,4026.0,0,4026.0,0.483,1237,32,0.6,0.0
1,45,1,1,2,2,1,0,36,4,4,3,6576.0,0,6576.0,0.579,1465,34,0.619,0.0
